n,merge_sort_key_comp,insertion_sort_key_comp,merge_sort_run_time,insertion_sort_run_time
10,4,5,0.000006,0.000003
15,8,14,0.000004,0.000001
20,12,23,0.000004,0.000001
25,18,27,0.000005,0.000000
30,22,50,0.000005,0.000001
35,27,58,0.000007,0.000001
40,32,83,0.000007,0.000001
45,37,99,0.000008,0.000003
50,45,138,0.000009,0.000003
55,51,163,0.000010,0.000003
60,54,198,0.000011,0.000003
65,62,221,0.000012,0.000004
70,69,270,0.000013,0.000004
75,74,289,0.000013,0.000005
80,80,304,0.000015,0.000005
85,89,393,0.000016,0.000006
90,95,397,0.000016,0.000006
95,102,424,0.000017,0.000007
100,107,527,0.000018,0.000007
105,115,537,0.000020,0.000008
110,121,657,0.000020,0.000009
115,130,674,0.000021,0.000010
120,137,756,0.000021,0.000011
125,141,819,0.000021,0.000011
130,150,864,0.000022,0.000013
135,156,965,0.000023,0.000014
140,167,935,0.000024,0.000013
145,172,1004,0.000025,0.000015
150,178,1161,0.000025,0.000016
155,188,1153,0.000027,0.000016
160,196,1335,0.000027,0.000018
165,199,1497,0.000028,0.000020
170,210,1431,0.000030,0.000021
175,216,1538,0.000031,0.000020
180,228,1697,0.000032,0.000023
185,231,1810,0.000032,0.000024
190,240,1811,0.000033,0.000025
195,248,1903,0.000034,0.000026
200,256,1792,0.000034,0.000027
205,261,2173,0.000036,0.000029
210,271,2233,0.000037,0.000031
215,281,2259,0.000038,0.000032
220,287,2563,0.000038,0.000034
225,295,2424,0.000039,0.000034
230,304,2750,0.000040,0.000037
235,313,2606,0.000040,0.000037
240,321,2868,0.000041,0.000040
245,329,2982,0.000042,0.000040
250,334,3315,0.000043,0.000044
255,345,3281,0.000044,0.000044
260,352,3428,0.000045,0.000046
265,359,3473,0.000046,0.000048
270,368,3649,0.000047,0.000047
275,380,3807,0.000048,0.000053
280,385,4121,0.000049,0.000052
285,395,4109,0.000050,0.000054
290,402,4335,0.000051,0.000056
295,409,4376,0.000052,0.000060
300,416,4543,0.000053,0.000061
305,428,4683,0.000054,0.000063
310,434,4741,0.000055,0.000066
315,449,5232,0.000055,0.000067
320,451,5360,0.000056,0.000070
325,461,5369,0.000057,0.000071
330,472,5596,0.000058,0.000075
335,478,5859,0.000059,0.000076
340,488,5925,0.000062,0.000079
345,495,6118,0.000064,0.000083
350,506,5727,0.000065,0.000080
355,517,6581,0.000064,0.000086
360,522,6619,0.000065,0.000090
365,531,6392,0.000066,0.000091
370,538,6701,0.000067,0.000089
375,546,6964,0.000068,0.000096
380,560,7303,0.000069,0.000097
385,566,7489,0.000070,0.000099
390,576,7505,0.000071,0.000102
395,586,8061,0.000072,0.000106
400,594,8186,0.000073,0.000107
405,600,8160,0.000073,0.000112
410,610,8609,0.000074,0.000114
415,621,8595,0.000074,0.000118
420,627,8400,0.000077,0.000117
425,635,9165,0.000077,0.000121
430,644,9340,0.000077,0.000124
435,654,9606,0.000078,0.000125
440,662,9751,0.000079,0.000132
445,670,9891,0.000081,0.000130
450,681,9543,0.000084,0.000134
455,688,10953,0.000082,0.000139
460,697,10543,0.000089,0.000143
465,706,11010,0.000086,0.000145
470,717,11095,0.000085,0.000150
475,722,10976,0.000086,0.000152
480,735,11401,0.000086,0.000152
485,749,11969,0.000088,0.000160
490,751,12388,0.000088,0.000159
495,762,11677,0.000089,0.000166
500,771,13135,0.000089,0.000166
505,779,13265,0.000091,0.000174
510,792,12824,0.000091,0.000176
515,801,12880,0.000093,0.000175
520,804,12848,0.000093,0.000177
525,814,13951,0.000095,0.000190
530,822,14364,0.000097,0.000188
535,836,13690,0.000103,0.000189
540,846,14477,0.000102,0.000198
545,856,15008,0.000101,0.000196
550,863,14672,0.000101,0.000205
555,875,16192,0.000101,0.000208
