n,S,Average Key Comparisons,Average Time (s)
1000,32,13393,0.000000
2000,32,28756,0.000000
3000,32,40138,0.000600
4000,32,61742,0.001000
5000,32,66717,0.000600
6000,32,86305,0.001400
7000,32,107240,0.001600
8000,32,130661,0.001400
9000,32,124545,0.002400
10000,32,143505,0.001800
20000,32,306836,0.004200
30000,32,535736,0.006800
40000,32,654076,0.008000
50000,32,880416,0.010000
60000,32,1132138,0.012600
70000,32,1169349,0.015400
80000,32,1388995,0.016600
90000,32,1618745,0.018200
100000,32,1863224,0.025400
200000,32,3924857,0.045000
300000,32,5709581,0.075600
400000,32,8248023,0.095800
500000,32,11092582,0.118400
600000,32,12019828,0.149600
700000,32,14578261,0.172800
800000,32,17295828,0.200000
900000,32,20166681,0.226400
1000000,32,23182398,0.251800
2000000,32,48368797,0.552200
3000000,32,69672954,0.825400
4000000,32,100744348,1.125600
5000000,32,116156061,1.427800
6000000,32,145357998,1.732400
7000000,32,176464531,2.350800
8000000,32,209485515,3.174200
9000000,32,213567178,4.804600
10000000,32,242309471,6.171000
