n,S,Average Key Comparisons,Average Time (s)
100000,1,1536217,0.045400
100000,2,1536217,0.036000
100000,3,1536202,0.033400
100000,4,1536637,0.029400
100000,5,1536637,0.028000
100000,6,1554651,0.026000
100000,7,1557995,0.026600
100000,8,1557995,0.025400
100000,9,1557995,0.026200
100000,10,1557995,0.027800
100000,11,1557995,0.025600
100000,12,1619806,0.023400
100000,13,1639507,0.023000
100000,14,1639507,0.022000
100000,15,1639507,0.022800
100000,16,1639507,0.023600
100000,17,1639507,0.022600
100000,18,1639507,0.023400
100000,19,1639507,0.022400
100000,20,1639507,0.025000
100000,21,1639507,0.026400
100000,22,1639507,0.023400
100000,23,1639507,0.023600
100000,24,1765864,0.032000
100000,25,1863224,0.023400
100000,26,1863224,0.022000
100000,27,1863224,0.021000
100000,28,1863224,0.021200
100000,29,1863224,0.021200
100000,30,1863224,0.022000
100000,31,1863224,0.021200
100000,32,1863224,0.021200
100000,33,1863224,0.022000
100000,34,1863224,0.022000
100000,35,1863224,0.021200
100000,36,1863224,0.021800
100000,37,1863224,0.019600
100000,38,1863224,0.021000
100000,39,1863224,0.021200
100000,40,1863224,0.020800
100000,41,1863224,0.022200
100000,42,1863224,0.021400
100000,43,1863224,0.023600
100000,44,1863224,0.022600
100000,45,1863224,0.022000
100000,46,1863224,0.020800
100000,47,1863224,0.021400
100000,48,1949138,0.021400
100000,49,2383006,0.023200
100000,50,2383006,0.021800
100000,51,2383006,0.021800
100000,52,2383006,0.022000
100000,53,2383006,0.021000
100000,54,2383006,0.022600
100000,55,2383006,0.022600
100000,56,2383006,0.022200
100000,57,2383006,0.021400
100000,58,2383006,0.022400
100000,59,2383006,0.022600
100000,60,2383006,0.021600
100000,61,2383006,0.023800
100000,62,2383006,0.022200
100000,63,2383006,0.024400
100000,64,2383006,0.023000
100000,65,2383006,0.023000
100000,66,2383006,0.022000
100000,67,2383006,0.023200
100000,68,2383006,0.021800
100000,69,2383006,0.036000
100000,70,2383006,0.022800
100000,71,2383006,0.024000
100000,72,2383006,0.022200
100000,73,2383006,0.022400
100000,74,2383006,0.021600
100000,75,2383006,0.023000
100000,76,2383006,0.024200
100000,77,2383006,0.023400
100000,78,2383006,0.029400
100000,79,2383006,0.023800
100000,80,2383006,0.021800
100000,81,2383006,0.023000
100000,82,2383006,0.022200
100000,83,2383006,0.021800
100000,84,2383006,0.022400
100000,85,2383006,0.022000
100000,86,2383006,0.020800
100000,87,2383006,0.021000
100000,88,2383006,0.022400
100000,89,2383006,0.021600
100000,90,2383006,0.021600
100000,91,2383006,0.022200
100000,92,2383006,0.024200
100000,93,2383006,0.022000
100000,94,2383006,0.022200
100000,95,2383006,0.021800
100000,96,2383006,0.021600
100000,97,2765595,0.024600
100000,98,3507609,0.025600
100000,99,3507609,0.025000
100000,100,3507609,0.024800
