n,S,Key Comparisons,time
1000,1,8698,0.000200
1000,2,8698,0.000400
1000,3,8694,0.000600
1000,4,8752,0.000400
1000,5,8752,0.000000
1000,6,8752,0.000000
1000,7,8790,0.000200
1000,8,9118,0.000200
1000,9,9118,0.000000
1000,10,9118,0.000000
1000,11,9118,0.000200
1000,12,9118,0.000000
1000,13,9118,0.000000
1000,14,9118,0.000200
1000,15,9487,0.000000
1000,16,10281,0.000600
1000,17,10281,0.000000
1000,18,10281,0.000600
1000,19,10281,0.000200
1000,20,10281,0.000000
1000,21,10281,0.000000
1000,22,10281,0.000000
1000,23,10281,0.000200
1000,24,10281,0.000400
1000,25,10281,0.000200
1000,26,10281,0.000800
1000,27,10281,0.000000
1000,28,10281,0.000000
1000,29,10281,0.000000
1000,30,10281,0.000400
1000,31,12526,0.000000
1000,32,13393,0.000000
1000,33,13393,0.001000
1000,34,13393,0.001000
1000,35,13393,0.000200
1000,36,13393,0.000400
1000,37,13393,0.000400
1000,38,13393,0.000200
1000,39,13393,0.000200
1000,40,13393,0.000200
1000,41,13393,0.000000
1000,42,13393,0.000000
1000,43,13393,0.000200
1000,44,13393,0.000000
1000,45,13393,0.000000
1000,46,13393,0.000200
1000,47,13393,0.000000
1000,48,13393,0.000000
1000,49,13393,0.000800
1000,50,13393,0.000600
1000,51,13393,0.000000
1000,52,13393,0.000200
1000,53,13393,0.000000
1000,54,13393,0.000200
1000,55,13393,0.000000
1000,56,13393,0.000000
1000,57,13393,0.000000
1000,58,13393,0.000000
1000,59,13393,0.000000
1000,60,13393,0.000000
1000,61,13393,0.000200
1000,62,16791,0.000000
1000,63,20310,0.000400
1000,64,20310,0.000200
1000,65,20310,0.000200
1000,66,20310,0.000000
1000,67,20310,0.000000
1000,68,20310,0.000200
1000,69,20310,0.000000
1000,70,20310,0.000000
1000,71,20310,0.000800
1000,72,20310,0.000000
1000,73,20310,0.000000
1000,74,20310,0.000200
1000,75,20310,0.000200
1000,76,20310,0.000200
1000,77,20310,0.000200
1000,78,20310,0.000200
1000,79,20310,0.000000
1000,80,20310,0.000200
1000,81,20310,0.000200
1000,82,20310,0.000200
1000,83,20310,0.000400
1000,84,20310,0.000200
1000,85,20310,0.000200
1000,86,20310,0.000000
1000,87,20310,0.000400
1000,88,20310,0.000000
1000,89,20310,0.000000
1000,90,20310,0.000000
1000,91,20310,0.000000
1000,92,20310,0.000200
1000,93,20310,0.000000
1000,94,20310,0.000200
1000,95,20310,0.000600
1000,96,20310,0.000000
1000,97,20310,0.000000
1000,98,20310,0.000600
1000,99,20310,0.000000
1000,100,20310,0.000000
10000,1,120458,0.004600
10000,2,120458,0.002800
10000,3,120463,0.002800
10000,4,120513,0.003000
10000,5,121532,0.002800
10000,6,121532,0.002000
10000,7,121532,0.002200
10000,8,121532,0.002200
10000,9,122518,0.002200
10000,10,127079,0.002200
10000,11,127079,0.001600
10000,12,127079,0.003200
10000,13,127079,0.002400
10000,14,127079,0.002800
10000,15,127079,0.002800
10000,16,127079,0.002000
10000,17,127079,0.001400
10000,18,127079,0.001600
10000,19,134370,0.002200
10000,20,143505,0.001600
10000,21,143505,0.001800
10000,22,143505,0.002200
10000,23,143505,0.001200
10000,24,143505,0.002600
10000,25,143505,0.002000
10000,26,143505,0.002200
10000,27,143505,0.001600
10000,28,143505,0.001200
10000,29,143505,0.002800
10000,30,143505,0.001800
10000,31,143505,0.001200
10000,32,143505,0.002000
10000,33,143505,0.002000
10000,34,143505,0.002000
10000,35,143505,0.002000
10000,36,143505,0.002000
10000,37,143505,0.001200
10000,38,143505,0.002000
10000,39,180692,0.001600
10000,40,183312,0.001800
10000,41,183312,0.001400
10000,42,183312,0.001800
10000,43,183312,0.001600
10000,44,183312,0.002000
10000,45,183312,0.001800
10000,46,183312,0.001800
10000,47,183312,0.002400
10000,48,183312,0.002400
10000,49,183312,0.002000
10000,50,183312,0.001600
10000,51,183312,0.002000
10000,52,183312,0.002000
10000,53,183312,0.001600
10000,54,183312,0.001800
10000,55,183312,0.001800
10000,56,183312,0.001800
10000,57,183312,0.001400
10000,58,183312,0.002400
10000,59,183312,0.001600
10000,60,183312,0.002200
10000,61,183312,0.001200
10000,62,183312,0.001800
10000,63,183312,0.002000
10000,64,183312,0.002200
10000,65,183312,0.001600
10000,66,183312,0.001600
10000,67,183312,0.001600
10000,68,183312,0.002200
10000,69,183312,0.001600
10000,70,183312,0.001800
10000,71,183312,0.002400
10000,72,183312,0.001200
10000,73,183312,0.002400
10000,74,183312,0.001400
10000,75,183312,0.001800
10000,76,183312,0.001600
10000,77,183312,0.001800
10000,78,259436,0.002400
10000,79,270680,0.001600
10000,80,270680,0.002200
