n,S,Average Key Comparisons,Average Time (s)
1000,32,13393,0.000000
2000,32,28756,0.001400
3000,32,40138,0.000200
4000,32,61742,0.000600
5000,32,66717,0.000000
6000,32,86305,0.001800
7000,32,107240,0.001600
8000,32,130661,0.000600
9000,32,124545,0.002800
10000,32,143505,0.003400
20000,32,306836,0.007000
30000,32,535736,0.006200
40000,32,654076,0.008000
50000,32,880416,0.008800
60000,32,1132138,0.013000
70000,32,1169349,0.020000
80000,32,1388995,0.025400
90000,32,1618745,0.018000
100000,32,1863224,0.021600
200000,32,3924857,0.046000
300000,32,5709581,0.078400
400000,32,8248023,0.101000
500000,32,11092582,0.137200
600000,32,12019828,0.153000
700000,32,14578261,0.227400
800000,32,17295828,0.208200
900000,32,20166681,0.243000
1000000,32,23182398,0.283600
2000000,32,48368797,0.596000
3000000,32,69672954,0.838200
4000000,32,100744348,1.143800
5000000,32,116156061,1.473600
6000000,32,145357998,1.793600
7000000,32,176464531,2.017000
8000000,32,209485515,2.356400
9000000,32,213567178,2.823200
10000000,32,242309471,3.074000
